gender,emotion,actor,path
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-01-01-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-02-02-01-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-02-02-01-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-02-02-01-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-02-01-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-02-02-01-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-01-01-01-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-02-01-02-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-02-01-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-02-02-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-01-01-01-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-01-01-01-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-01-02-02-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-01-02-01-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-02-02-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-02-02-01-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-02-02-01-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-02-02-01-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-01-02-02-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-02-01-01-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-01-02-02-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-02-01-02-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-02-01-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-01-02-02-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-01-02-01-07.wav
male,neutral,7,speech_emotion_recognition/data/Actor_07/03-01-01-01-01-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-02-01-01-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-01-02-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-02-02-02-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-01-02-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-02-01-02-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-01-01-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-01-02-01-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-01-02-01-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-02-01-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-01-01-02-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-01-01-02-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-01-02-01-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-01-01-02-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-01-01-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-01-02-01-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-01-02-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-02-01-01-07.wav
male,neutral,7,speech_emotion_recognition/data/Actor_07/03-01-01-01-02-02-07.wav
male,neutral,7,speech_emotion_recognition/data/Actor_07/03-01-01-01-01-02-07.wav
male,disgusted,7,speech_emotion_recognition/data/Actor_07/03-01-07-01-01-01-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-01-01-02-07.wav
male,neutral,7,speech_emotion_recognition/data/Actor_07/03-01-01-01-02-01-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-02-02-02-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-01-02-01-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-01-01-01-07.wav
male,happy,7,speech_emotion_recognition/data/Actor_07/03-01-03-02-02-02-07.wav
male,surprised,7,speech_emotion_recognition/data/Actor_07/03-01-08-02-01-02-07.wav
male,calm,7,speech_emotion_recognition/data/Actor_07/03-01-02-02-01-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-02-01-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-02-01-01-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-02-02-02-07.wav
male,sad,7,speech_emotion_recognition/data/Actor_07/03-01-04-02-02-02-07.wav
male,angry,7,speech_emotion_recognition/data/Actor_07/03-01-05-01-01-02-07.wav
male,fearful,7,speech_emotion_recognition/data/Actor_07/03-01-06-01-01-01-07.wav
female,surprised,22,speech_emotion_recognition/data/Actor_22/03-01-08-02-01-02-22.wav
female,angry,22,speech_emotion_recognition/data/Actor_22/03-01-05-01-02-02-22.wav
female,fearful,22,speech_emotion_recognition/data/Actor_22/03-01-06-01-02-01-22.wav
female,happy,22,speech_emotion_recognition/data/Actor_22/03-01-03-02-01-01-22.wav
female,calm,22,speech_emotion_recognition/data/Actor_22/03-01-02-01-01-01-22.wav
female,calm,22,speech_emotion_recognition/data/Actor_22/03-01-02-02-01-01-22.wav
female,sad,22,speech_emotion_recognition/data/Actor_22/03-01-04-01-02-02-22.wav
female,happy,22,speech_emotion_recognition/data/Actor_22/03-01-03-02-01-02-22.wav
female,neutral,22,speech_emotion_recognition/data/Actor_22/03-01-01-01-02-01-22.wav
female,fearful,22,speech_emotion_recognition/data/Actor_22/03-01-06-02-01-01-22.wav
female,angry,22,speech_emotion_recognition/data/Actor_22/03-01-05-01-01-01-22.wav
female,happy,22,speech_emotion_recognition/data/Actor_22/03-01-03-02-02-02-22.wav
female,angry,22,speech_emotion_recognition/data/Actor_22/03-01-05-01-01-02-22.wav
female,disgusted,22,speech_emotion_recognition/data/Actor_22/03-01-07-02-02-01-22.wav
female,fearful,22,speech_emotion_recognition/data/Actor_22/03-01-06-02-02-02-22.wav
female,sad,22,speech_emotion_recognition/data/Actor_22/03-01-04-01-01-01-22.wav
female,sad,22,speech_emotion_recognition/data/Actor_22/03-01-04-01-02-01-22.wav
female,neutral,22,speech_emotion_recognition/data/Actor_22/03-01-01-01-02-02-22.wav
female,disgusted,22,speech_emotion_recognition/data/Actor_22/03-01-07-01-01-02-22.wav
female,angry,22,speech_emotion_recognition/data/Actor_22/03-01-05-02-01-02-22.wav
female,calm,22,speech_emotion_recognition/data/Actor_22/03-01-02-02-02-02-22.wav
female,disgusted,22,speech_emotion_recognition/data/Actor_22/03-01-07-02-01-01-22.wav
female,happy,22,speech_emotion_recognition/data/Actor_22/03-01-03-01-02-01-22.wav
female,happy,22,speech_emotion_recognition/data/Actor_22/03-01-03-02-02-01-22.wav
