gender,emotion,intensity,actor,path
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-02-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-01-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-01-01-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-01-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-07-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-01-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-01-02-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-03-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-08-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-02-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-02-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-02-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-04-02-02-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-05-01-01-02-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_07/03-01-06-01-01-01-07.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-08-02-01-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-05-01-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-06-01-02-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-03-02-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-02-01-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-02-02-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-04-01-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-03-02-01-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-01-01-02-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-06-02-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-05-01-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-03-02-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-05-01-01-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-07-02-02-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-06-02-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-04-01-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-04-01-02-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-01-01-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-07-01-01-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-05-02-01-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-02-02-02-02-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-07-02-01-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-03-01-02-01-22.wav
female,happy,2,16,speech_emotion_recognition/data/Actor_22/03-01-03-02-02-01-22.wav
